text,is_toxic
а потом долбоёбы на дорогу лезут после таких автошкол,1
"хороших людей забирает, а хуйню оставляет, взяточников,",1
давно пора такой закон ввести. эта тварь отсидит и снова выйдет и снова будет с.....ка насиловать и убивать.,1
шакалы. волк и то кости оставляет.,1
"мне нравится! натали вашу ебучую группу качает, а вы бляяяя марамойки дешевые:d :d :d :d 👎",1
ебанутые савсем уже стали сосваим вирусом уже не знают че придумать. пердеть тоже корновирус.,1
ну и тварь эта гадина её покарает господь хороших родитетей тебе малышка🥰,1
"да,блядь,правильно,но серебряков с этим афоризмом уже заебал!",1
да вообще похуй сколько этот долбоеб получает,1
"все людей наебала ,а потом же , что бы деньги не отдавать , ты начинаешь хуйню писать !!",1
"вот из-за таких пидорасок,, простите девочки и,, семьи распадаются",1
"у тебя и задевать то нечего, ебланка.",1
а сколько блядь они нам должны ни слова только мы им должны твари ненастные,1
и таких уродов не мало,1
б расстрел митинга в новочеркасске gать,1
"он тащит электропоезд, а там контактной сети нет.дибил",1
да вот совсем насрать какая у него национельность,1
А ей хочется араба или ниггера...,1
без крыльев то какой мудак ездит!,1
"Прочитай все, что я написал, если не поймешь, прочитай еще раз, потом подумай, потом пиши.",1
те в рот дает азером шлюхам сосать молчи не скули пдар,1
причём тут образование сосёт она однако хорошо насосала на генерала,1
говорила ли эта мразь такие слова?,1
и всё это пренадлежит дипутатам бандюгам пидорасам,1
"Не понимаю Вашу речь, к счастью.",1
"у тебя что, ИНТОКСИКАЦИЯ УКРАИНСКИМ МИРОМ?",1
"блядь !!!полный беспредел ,прям в начале сезона,бомжы вы че совсем что ли прихуели!?!?!?!?",1
"долбоёбка, пидаросия уже 6 лет снабжает ордло оружием, боеприпасами, гсм и боевиками.",1
за деньги куда хочешь выйдут. дебилы!,1
"Да хз, что ты до меня то докопался ?",1
не надо этим уродам подсказывать- какой -то чиновник увидит и хана- так и будет ),1
"на хуя такое выкладывать, зто и дети будут смотреть долбоебы",1
"тварь присягу один раз,а проебал всю страну",1
правительство дешёвка коньченные 😡 жалко им детей накормить. зато сами жируют твари ебаные.,1
админы вы долбаебы как вы заебали плюсони плюсони на всякую хуйню,1
а ты читать умеешь или дерьмо из жопы прёт в глаза ? тихаботка ты,1
боюсь ей это даже понравиться)) по ней видно что блять еще та.....,1
люди не в материться надо дох я русском языке других пездатых слов,1
"какую хуйню вы порете с телеэкранов, вауу, это пиздец, чтобы в это верить нужно быть полным уебаном",1
20 лет шли в перёд а оказались в жопе,1
путин пидар ебанный уходи в отставку.,1
"так это у нас, будет, может быть, когда нибудь, вдруг. а ты вчера сосал, сегодня сосешь и завтра сосать будешь.",1
Студент с бабками - хуевый студент,1
да ни у кого просто пиздобол.,1
порядок бы блять навёл !,1
руки им оторвать за такой асфальт.,1
а где доказательство? пидарысы с начала дакажите.,1
у вас в деревне говнищи все такие политизированные? (h),1
щас через интернет больше шансов что-то здела́ть.видете выдумали пидарасы ковид19,1
"сколько вокруг гандонов пидорасов, узнаём только после",1
Спалил свой вк постя плохо закрашенную переписку.,1
тото ты и ебло своё прячеш для конфискацыи готовишся,1
"вот, до чего людей довели! мерзавцы!!!",1
трясутся выродки. кормушка прикрывается. а отвечать придётся.,1
а она блядь святая чаще пиздец,1
да нахуй он кому нужен,1
"уроды,вот всегда считала себя воспитанным человеком,но даже эмоций не осталось...",1
дура без причины и понимать нечего,1
"мне и моим друзьям крым нужен. ну а пидорасов, согласен, не спросили.",1
"Даже хохлы в гейропу не хотят, бабосы не те?",1
"ну как бы..геи и пидорасы- как ни крути, выходят за рамки нормального",1
"может вы уже в личке решите,кто у кого отсосет и у какого осла,и кто пидар ,а кто нет.надоели😁😁😁",1
я непоня а почему этому пидору по ибулу не дали,1
"я вижу что ты за его счёт хочешь набрать много лайков и тебе паебать остальное,где вы таке далбаебы находитесь????пиздуй работать!!!!",1
да иди ты на хуй заебал уже пиздеть.,1
"они ждут только деньги, а за что им заплатят- им нет интереса. лишь бы бабло получить. падлы, предатели на овские.",1
"ебанутые , посмотрите на украину.",1
так будет с каждым кто *попрёт* на юго-восток... укрохерои бля.,1
демократию Что ты об этом знаешь тупорылая пидораха?,1
черножопые охерели они и в германии себя чувствуют королями полный трындец а менты спасали свои жизни .,1
хуйня.... завдекаловка... потом увидите что на самом деле будет... как всегда обьебаловка народа,1
"И у меня гамно залежалось, тоже отправлю",1
"да его не то что уважать, его русские будут презирать, как последнюю гадину.",1
мож тоже видать гордится женой пиздаболкой 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1
какой пидор эту информацию выложил и зачем,1
"пидорас ты сережа, раз такую хуйню прдлогаешь!!!",1
"Всё норм, хули ты это ваще.",1
в глазах чужого государства они конечно красавцы!пидорасы кто россиянам поможет?,1
динамо на 3 забить а ты пидор все хорошо.,1
"Сука! Я знала, что это он! Будете моим свидетелем?",1
хорошо что не затаилась тварь,1
таких уродов нужно наказывать .,1
"Что, сцуко, характерно - сзади установлен реактор, появившийся на машине только во второй серии.",1
Казимирко и сам как дерьмовая система.,1
Повезло мужикам из гей-клуба. С такой классной девчонкой познакомились...,1
прикрои ибальник скоро и тебя сметет народный гнев не переживай,1
"писатель хренов, ты сначала ефремова посади",1
"Я уже говорил тебе, что такое безумие? Gifx",1
"Завязывай с бухлом, мать. Какой-то херни нагородила.",1
"она самая прикрасная,очаровательное девочка. ни то что ходить по баром х...у сасать пивой запивать.ты умница девочка.",1
блять! долбоёбы придумывают сказки и верят в них.а залупа над мацквой не висит?,1
"танька, ты хуйню то не неси))",1
молодец женщина побольше бы таких умных и образованных а не тупое стадо носящий маски,1
ни хрена себе! я и не знал что этой жабе при жизни памятник поставили... неужели - насосала?,1
"украинский летак ? хохлы , вы ебанулись ? он уже китайский !",1
нет ничего хуже чем увидетb мразь в человеке готорого ты считал лучшим,1
Вы что дебил? Кто же будет исследовать собственные косяки? В лучшем случае предлжат усовершенствованную вакцину позже.,1
ты мразь почему стыдишься русского языка ??,1
кноченые пидорасы куда смотрим мы тоесть народ,1
ну у хохлов еще хуже а мне-то что?,1
"мусора демократизаторами отхуярят так, что забудешь, как жаловаться.😃",1
ты промахнулся. слепой ты говнюк! ты его трубу канализационную сунул. я далеко находился но отчётливо это видел!,1
"базара нет... если пидоры у власти, значит жди в стране напасти!!!",1
"респект батьке. давить орущих, а тех к с коктейлями молотова сажать на долго.",1
этой пучке давно пора закрыть поганый рот.,1
"вам, пидорасам госдеповским, по штату не положено.",1
дебилы!не чему не учат вас примеры украины!,1
Малюй на СВО М холсте а не на стенах домов. Лишь бы политоту приплести.,1
да его суку надо садить что его отмаэывают адвокаты а завтра он их ребенка задавит,1
так на данный момент выигрывает и ебёт эту четвёрку пиндосовскую в хвост и гриву!!!,1
Ну есть её фото? Мне голос её всегда напоминает ту ведущую с россии1 на которую дрочат крым-политачеры.,1
этих блядей российское телевидение пиарит. когда уже «звездопад» начнётся? девицы легкого поведения звёздами становятся на раз два!,1
"долбоебам уазик достался , машина классная и простая в обслуге !",1
в девяностые этот перекормленный молодняк жрал бы голубей..видно сказок пиндосни наслушались про счастливое прошлое..,1
ну да жена на работе ебашит а он из чужой пизды не вылазит охуенно живём,1
это без вопроса..... ебанутые те кто такой вопрос задает..,1
"Ну что, сломал ваш косоглазый карточку походу. Теперь будете на новую собирать.",1
"Мы тут обсуждаем жирного коммуняку - техноблоггера, а не тупых шлюх. За подобной дискуссией проследуй в другой тред",1
вся россия хочет этого упыря в отставку,1
пиздюлей этому подростку надо дать таких чтобы запомнил на всю жизнь,1
"кому она абосралась твоя вакцина, засунь себе её в жопу!",1
сам долбоеб и окружает себя такими же долбоебами,1
я б не смог пройти.сидеть за пидара тож не охота.,1
"дрянь, ещё оставила его лежать, сука",1
"ты у меня сможешь только отсосать гомик ебучий, иди просто на хуй.",1
"пиздец!!!!! я не винные люди пострадали и многие погибли,а сколько травмированных? точно разъебаи.....",1
"так я тебе итак куда уж более конкретно сказал, что ты мудак конченый",1
"что за очередная хрень😂пускай в африку еще напишут послание,дебилы помешаные,бля,какк будто больше делать не хрен в этлй жизни😁",1
"ты,педрило,очень скоро пойдешь на зону и тебя будут иметь самые немытые зеки!",1
николашка реально уеблан был!!!!!!!!! но смемью жалко,1
герой буданов а кержаков хуй.о с миллионами зарплаты!!!!!,1
7пидор подумайтам государственыекрупные заводы а у нас все разворовано путинистами и единопидоросами.что же ты молчишь пидор,1
дебилка бля......я сама дам тел. кто захочет,1
абу ебаный угомони своих кудрявых друзей или бунт поднимем,1
это полководцы у нас такие суки роту загубили,1
Бомбят мюслей в труху на протяжении 20 лет. Мюсли бомбят их ответ. Пиндосы: ЗА ЩО ?,1
"АХАХАХАХЪХААХА Благодарю, а то так бы и не узнал, кто же там крыса, крышующая мелкие ларьки.",1
нахрена этого придурка клоуна сюда впихивают?,1
Номер стримерши и её ебыря Андрея.,1
"ты тварь, урод и скотина.",1
тебя не научили родину любить малоетняя дурочка,1
"сериал просто пиздец, других слов нет. глянь. лично мне прочно въелся в душу.",1
ты хоть слова меняй хуйло одноклеточное. одну и ту же хуйню кукарекаешь.,1
"У вас либо золото хреновое, либо букеты из аленьких цветочков, добытых у чудовища.",1
хуйло как и его покровители,1
"тоже так думаю. честн- ёбань. не понимаю , кто так пишет. честно- пидарас",1
"Трамп, кстати, наименее фашиствующий из них",1
хуйня шо больше показать нечего,1
"ожиревшее, охуевший ,тупое мурло. догадаетесь, чьи помыслы они вещают. правильно , пыни батюшки.",1
заебали этой хуйнёй. неужели больше нечем заняться?,1
ну и пиздец вам ребята. ждите гостей!!!,1
это люди которых дрочили в детстве чморили а теперь они вот так отрываются пида.... сы,1
"пиндосы-пидарасы ау!!! как там в жопе не печёт!!!??? а нука прекратите разгонять мирных протестующих!!!! где сука, толерантность и демократия!!!????",1
Байкеры уже не те ряяя,1
и это наша интеллигенция и это чмо нам для подражания?,1
расскажи нам про усраину пидор ?,1
долбоёбы....там 10 миллионов населения и половина из них приезжие рабчие.,1
фу. какие мерзкие три морды!!,1
"кто не курит и не пьет,сука нудный бля пидзец..",1
Больной ублюдок.jpeg Как так можно? Самостоятельно лишать себя одного из главных удовольствий в жизни: пожрать что-то перед телек.,1
Жириновский очень точно сформулировала лозунг отечественного ресентимента.,1
"чего это ты там такого делаешь, что у котейки во взгляде такие флешбэки?",1
я не пойму модельер пошутил или поиздевался над дебилами!,1
"сучий артист, пидораззззз специально так делает.",1
да кто так думает полный придурок миллион лайков бы поставила,1
дебил нельзя белова лебедя стрелять тебе башку прострелить,1
Фолач - дропнул Сталкера - дропнул пиздец бля,1
Чому при 400 онлайне у хрюкана чатик такой дохловатый? Не накрутил ли он онлаен?,1
тварюга и вор...............всю россию продаст.,1
этот побогаче просто будет. ну и ебальник у него приятнее. а так шлюхе все равно кому продаваться,1
"людям горе, эти долбоебы смеются. я охуеваю над людьми.",1
что уж не в первом? кто-то верит в эту херню?,1
"Вот 23 февраля также сделал. Рука болит, морда поцарапана, походу получилось.",1
"Я дико извиняюсь, а как этот пень в плане секса, м?",1
"Ролики - кал с убогой актерской игрой, стримы - заебись.",1
там не отменил батька растрел.вот там эту мразь и расстреляют.,1
ты мне не тычь отморозок не да ёбанный,1
"пидарас, приложил руку к развалу союза а теперь ещё что-то гундосит.",1
ебать это что ещё за уебище не земное,1
ну так и отдыхающие быдлота,1
кончить бы на такую грудь,1
Старый баян как он заебал,1
"блять, развели срачь из нихуя.",1
выход лишь один - гнома на кол!!!,1
ты на этого мухчка свой глаз блядский больше не кладии,1
автор дебил подписью фото испортил,1
пидоров(fr) это тебя касается ! с м (fr),1
"среди всех этих уродов, проехал только один человек.",1
"Ты че, 2080 не могла подарить? Что за нищебродство... Я бы психанул.",1
пидрила путинская тварь 14 копеек им на содержание,1
"долбаебы, купились на западные деньги",1
это пидар... конченый...тварь тебе все вернется...,1
"за эти вещи сейчас статья до 5лет,а там он станет пидором.настоящим!!!",1
наши русские ебаный по голове разве не ясно,1
"молись не молись,всё - равно получишь хуй. ну, разве что блядям на радость.",1
падла блять животное даже не бросает свое дитя а она сука подзаборная прости господи за свои слова,1
ахуеть вы далбаебы такие видео закидываете,1
"урод😡 ,как так можно 🥺",1
ни че ни че мы подождём. он за курск ещё ответит. за все ответит. хуйло.,1
"очем ты думаешь,несмышленное дитя!?!?!?какая любовь????крапивой блядь выпороть.....1сентября на носу.....я в шоке",1
узкоглазые муслимы-якуты пиздят узкоглазых муслимов-киргизов Ебала жаба гадюку.,1
"мне интересно, а кто их эти штаммы обновил. какая тварь и в какой лаборатории постаралась.",1
то что ты сам написал про хохлов,1
девчонки вам самим не стыдно ходить полуголыми тогда не жалуйтесь что вас трахают так вам и надо,1
"дебил - это ты, если не понял что это договорняк и никаких неожидонастей.",1
опять нажрался на работе.?выгонят тебя холуйка ...а я предупреждал : не пей талаша козликом станешь..,1
донбасу пидарасу нету славы и не будет,1
"по блату поступили , по блату закончили по блату устроились и управляют тупари ...",1
"вот,вот! почему полицейские не задержали пидоренка? в россии запрещена реклама пидорства! почему не задержали?",1
"былбы москвичь,я посмеялся с тебя и все,ну а так только баран.",1
"как был хуйло, так и остался.",1
"пообщаюсь с хуесоской, девушкой в личку на пошлые темы, в личку",1
"не евреи виноваты, а долбоёбы во власти",1
"В РФ медстраховка есть у всех, не важно работаешь ты или нет, оправдывайся скотоубдюдок окраинский.",1
твари мрази зачем было убивать и так осталось мало зверя всё вырубили им жить негде,1
ты пидор на путина наехал.,1
ебанутые. отобрать оружие и лодку и штраф тысяч 500,1
"да что это за дурочка в женах у этого мужика, который так считает?",1
"молодца, хоть один нашлось мужик кто не хуй........ городит",1
старая пизда здесь не урок русского йазыка тпем ворт,1
"дураки. никакой свободы в ссср не было. вообще никакой. всё пиздешь, грубо говоря.",1
у него на уме только взорвать убить забрать отключить уничтожить. вообщем долбень,1
зачем издеваться над бульдогом?! хозяину надо на ебал.ник натянуть!,1
А какой уровень у тех кто тренды про хохлов создаёт?,1
мразоты их бы скинуть. 😡😡😡😡😡,1
"а что штраф то, предложили бы сразу растрел. твари сначало натворят дел, а потом народу штрафы придумывают за их правду.",1
"Это ж моя кошка! И пузико, и белое пятнышко на шее!",1
ты бы уже падло язык за зубами держал,1
мразь .такие гниды бьют из-за угла .сколько их стало сейчас ???,1
ты же с ним не трахался не знаешь на что он спасобен,1
"на хуй такие вбросы делать? поживите на донбассе, чепушилы. путин, им, блять, не такой.",1
"ёбанный пидораз, закрой свой вафельный рот, гондон!ещё кто кого переживёт посмотрим!",1
"Банить за скримеры, я ебу, ты шизойд сам понял, что высрал ?",1
вот скотина страшно стало за свою никчемную жизнь а тому парню интересно жить не хотелось ?,1
"да и хер с ним! пусть пиздует, дерьмо держать не стоит. автор полюби себя, ты детям нужна.главное духом не падать!",1
"ждём маршей протеста против задержания а.гришина в его родном саранске.либерасня,чё-то не слышно ваших призывов к бунту?",1
"пидарасы ебаные, саня ты ахуел просто, что тваришь сука???",1
чикатило невинный агнец по сравнению с николашкой кровавым! гореть в аду этой твари! а товарищ сталин- спаситтель россии!,1
"какие же вы мрази, хватит распространять всякую гадость. сколько вам платят? самим за себя не противно?",1
"чушь не несите! все только воров охраняют? страна у нас еще существует, наверное благодаря только тебе-писака херов!",1
"пидоры власовские не забывайте, что увас есть тоже семьи.",1
"да это твоя земля благодаря нам ,а не арабских когломиратов где ты бы шуршал как сраный веник",1
заткнись тухлость!!.. я и в твоей тюрьме хлеб с маслом есть буду - не твои пидор!!..,1
"блядь на себя посмотрите, хули вы все пеняете ...",1
Зачем политач должен покидать лучший из его тредов? Ты поехал?,1
мемчик блять не тролят не преследуют и не издеваются. как эти уёобки типа интеллектуальные.,1
"Врубай перфоратор,сверло на пятьдесят,потом в эту дыру ори.. Вставь в нее шланг и затопи ихнахуй,еще в нее стрелять можно,осколочным,лучше фугасным..",1
вот и пизда им придёт.,1
"лол, классическое народ не тот . Корону с башки сними, придурок",1
эти ублюдочные твари ничего не могут. ишаки верхушек нахватали а сами катры видели на картинке. пидорасы,1
да народу орать надо а не объяснять ни в моем случае нельзя этого делать их надо самих уничтожать!,1
её муженька козла на кол надо посадить,1
паскуды свои же народ забиваете адумаитесь,1
пидарасы судьи не дают нам побеждать..,1
сука! родителям своим скажи это !,1
"вы больные ублюдки, какой в жопу майдан в хабаровске? какой сепаратизм? что вы несете ватноголовые?)",1
"пиздит гандон ,!!! это самое как он накормили ,!!!! лягушками!!!!???!!!!!",1
Концентрация гомофобов и шовинистов в стране делает такое развитие ситуации маловероятным,1
и такие идиоты правят нашей страной,1
"хер чё у вас буде, дэбилы, бля!! 😂😂😂😂😂😂😂😂😂",1
ебись да и все оно буду конем я из за всякого говна заиа переживать,1
сильнее надо было их жахнуть по клюву))),1
твари не люди отпусти она будет жива а если не нужна не заводи люблю собак есть в доме собака,1
"это просто фотка. не думаю, что бы он что-то сделал. котяра шикарный мурлыка ) полосатый хуеплёт)",1
таких надо на месте застрелить!,1
"тунев ,тебе не надоело говорить как попугай одно и тоже,включи мозги ,если есть :нахера ты нужен штатам",1
если хуйня. индексы на конвертах. и весь мир рисует эти цыфры,1
ебанутые.... пиздец.. сколько не адекватных людей на планете... (md),1
"достал долбоеб , побирается сколько лет",1
по телику пиарят одних пидоров прививают нам европейскую культуру так что радуйтесь вы скоро приравняетесь к европе,1
уебки с верху вабще ахуели в край,1
"нашли хоть того пидораса,что ее ударил?",1
однокласники вне прлитики а вы бляби за лайки и жопу подставите,1
а ты где в жопе сидишь,1
"Не пизди, а как же ежемесячный сбор с пиздаболов?",1
"Ага, они тоже плоские, как и земля и солнце и луна... , - стрельнул пукан у сами знаете кого",1
"урод, он еще не раз сядит пьяный за руль , и все ему можно урод 👹",1
жлобизм чистой воды! ...и конечно еврей охуительно умный!!!,1
"и что,никто не отпиздит пидара???",1
"хуй его знает с кем идти,одни пидарасты",1
точна я не верил но кагда машина пакупал акажетса 5раз пидарас!!!!!!!,1
"заебал этот китай,уже когда они там переболеют все,ну или передохнут...:-d :-d :-d :-d",1
ты мужик охуел что пишешь,1
блядь работа была зарплата была производства работали такой парад провёл красава !!!! и опять не угодил !!!! скоты !!!!,1
эти бляди совсем охуели твари конченые,1
"пидор толсторылый зажравшийся. грубо наверное, но для него в самый раз.",1
"шлюха,вчера твоя заметка твоей порванной пиздой накрылась:d (fr)",1
"гандон,и до сих пор такой пиздец идет,для них все для народа хуй слоновый сушенный !",1
да это просто нацыз вот в россий такие как он пиздить надо .,1
"Блядь как же бомбит с этих татух на полноги. Пиздец просто, вот нахуя так делать.",1
от ты сука и провокатор!пасешся на чюжих хлебах дрянь?!,1
"Он уже не стесняясь по кд срет, модератор его друг что ли?",1
жестокость не от того что дома нет животных пизд.....ые дети рождаются от пизд...ных родителей самое страшное что их много,1
заёб.с этим мостом уже полтора года мудохаются куда смотрит долбаная власть.,1
е...анутое пьяное быдло надо жёстко ставить на место.,1
"пошол ты на хуй, ещё раз я тебе говорю, не будь тупой скотиной, причём тут сталин!",1
у неё геморрой на губах,1
охуеть класная до утраа бз сна боядь0,1
андрюха не заполней ленту всякой хуху (это твой хэйбол . а то удалю тебя из друзей 😅,1
Просто на хуй посылаю таких наглецов.,1
это не твои дети.!!! и тебя ебать не должно .--сучки продажные..,1
когда всем врал про пушистую кость все но стрижка расставила на свои места твари,1
"сколько в москве, небыл, сырость, пасмурно, пробки хамами и дебилами кишат. и миллион тунеядцев.",1
"Анекдот на русский лад,евреи ради своих детей и семейлбы расшебут",1
за деньги с шаболдой живет.,1
сам урод и кожбека у тебя нет. плюнь на него плюнь,1
"виктор, говорить и взывать к этим проплаченным тварям бесполезно.. лучше не отвечать.. этим прокремлевским троллям плата идёт побуквенно...",1
... и укусит нахер тело!!!!!,1
"мм, страна нищая? ну это вранье! эти люди гордятся страной, убогое ты ничтожество.",1
так это ты уебок разместил такое фото что-бы заработать?,1
а ты что илюха?? тебе не по хую какой день?,1
"Скучаю по временам, когда подсосы Алекса Пыни не обвиняли его беспруфно в совкодрочерстве и не засирали инторнет своей тупостью",1
"вот и засунь теперь свой язык себе в опу.... она пля презирает, пхахаха, а кто ты такая чучело....",1
"ви таки дурак, простите? )",1
тебя пидора уже давно надо убрать.,1
плешивый пёс..в.в. задрал уже всех со своими едроссами )))))),1
это что за курва в котелке?,1
по сравнению с вовкой хуйлом лукашенко это цветочек,1
да на хую я тебя видел:d сучара.... ты вообще кто???,1
"как эту рыжую мразь,земля досихпор носит.",1
всех пиздаболов надо на калыму за страдание людей,1
"таких тварей даже незнаешь судить или убивать,конченные ублюдки👎👎👎",1
Может на войну поедешь в Сирию подыхать У русни хотя бы выбор есть. Рабских oкраинных людей (украинцев) туда плётками загоняют.,1
